ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
18441,NY,New York,Glasco,Ulster,42.043611,-73.947778
18442,NY,New York,Glen Aubrey,Broome,42.257289,-75.980544
18443,NY,New York,Glen Cove,Nassau,40.864958,-73.62772
18444,NY,New York,Glen Head,Nassau,40.828098,-73.60763
18445,NY,New York,Glen Oaks,Queens,40.7481,-73.711436
18446,NY,New York,Glen Spey,Sullivan,41.48576,-74.799493
18447,NY,New York,Glen Wild,Sullivan,41.654536,-74.583289
18448,NY,New York,Glenfield,Lewis,43.732306,-75.366902
18449,NY,New York,Glenford,Ulster,42.005342,-74.153154
18450,NY,New York,Glenham,Dutchess,41.521667,-73.926944
18451,NY,New York,Glenmont,Albany,42.597147,-73.795884
18452,NY,New York,Glens Falls,Warren,43.312539,-73.648816
18453,NY,New York,Glenwood,Erie,42.600094,-78.638634
18454,NY,New York,Glenwood Landing,Nassau,40.830556,-73.639167
18455,NY,New York,Gloversville,Fulton,43.061603,-74.337526
18456,NY,New York,Goldens Bridge,Westchester,41.293333,-73.677222
18457,NY,New York,Gorham,Ontario,42.798889,-77.131944
18458,NY,New York,Goshen,Orange,41.394586,-74.330162
18459,NY,New York,Gouverneur,Saint Lawrence,44.328302,-75.465061
18460,NY,New York,Gowanda,Cattaraugus,42.471202,-78.933902
18461,NY,New York,Grafton,Rensselaer,42.768889,-73.451389
18462,NY,New York,Grahamsville,Sullivan,41.880659,-74.512697
18463,NY,New York,Grand Gorge,Delaware,42.387358,-74.531173
18464,NY,New York,Grand Island,Erie,43.018266,-78.959059
18465,NY,New York,Granite Springs,Westchester,41.309791,-73.753008
18466,NY,New York,Granville,Washington,43.377562,-73.297825
18467,NY,New York,Great Bend,Jefferson,44.034167,-75.719167
18468,NY,New York,Great Neck,Nassau,40.774235,-73.718918
18469,NY,New York,Great River,Suffolk,40.721111,-73.158056
18470,NY,New York,Great Valley,Cattaraugus,42.208292,-78.620811
18471,NY,New York,Greene,Chenango,42.337301,-75.75954
18472,NY,New York,Greenfield Center,Saratoga,43.122488,-73.860193
18473,NY,New York,Greenfield Park,Ulster,41.728133,-74.520074
18474,NY,New York,Greenhurst,Chautauqua,42.119444,-79.310556
18475,NY,New York,Greenlawn,Suffolk,40.862121,-73.364641
